四川卫视高清,rtp://239.77.0.159:5146
金鹰纪实高清测试,rtp://239.77.0.160:5146
金鹰纪实超清测试,rtp://239.77.0.162:5146
四川卫视超清,rtp://239.77.0.163:5146
潮州公共,rtp://239.77.0.164:5146
潮州综合,rtp://239.77.0.165:5146
广东卫视高清,rtp://239.77.0.166:5146
广东经济科教超清,rtp://239.77.0.167:5146
广东体育超清,rtp://239.77.0.168:5146
CCTV3高清,rtp://239.77.0.169:5146
CCTV5高清,rtp://239.77.0.170:5146
CCTV6高清,rtp://239.77.0.171:5146
CCTV8高清,rtp://239.77.0.172:5146
广东卫视,rtp://239.77.0.173:5146
CCTV3超清,rtp://239.77.0.175:5146
IPTV5＋高清,rtp://239.77.0.176:5146
CCTV5超清,rtp://239.77.0.177:5146
CCTV6超清,rtp://239.77.0.178:5146
爱上4K超清,rtp://239.77.0.179:5146
邮轮旅游,rtp://239.77.0.180:5146
CCTV8超清,rtp://239.77.0.181:5146
重庆卫视高清,rtp://239.77.0.182:5146
安徽卫视高清,rtp://239.77.0.183:5146
北京纪实超清,rtp://239.77.0.184:5146
精选频道2,rtp://239.77.0.185:5146
精选频道1,rtp://239.77.0.186:5146
CCTV13,rtp://239.77.0.190:5146
广东卫视高清,rtp://239.77.0.191:5146
黑龙江卫视超清,rtp://239.77.0.192:5146
广东综艺超清,rtp://239.77.0.193:5146
江门综合,rtp://239.77.0.195:5146
江门公共,rtp://239.77.0.196:5146
江门教育,rtp://239.77.0.197:5146
天津卫视超清,rtp://239.77.0.199:5146
中国教育-1高清,rtp://239.77.0.200:5146
第一剧场,rtp://239.77.0.201:5146
风云足球,rtp://239.77.0.202:5146
世界地理,rtp://239.77.0.203:5146
风云音乐,rtp://239.77.0.204:5146
风云剧场,rtp://239.77.0.205:5146
怀旧剧场,rtp://239.77.0.206:5146
央视精品,rtp://239.77.0.207:5146
国防军事,rtp://239.77.0.208:5146
汽摩,rtp://239.77.0.209:5146
梨园,rtp://239.77.0.210:5146
DV生活,rtp://239.77.0.211:5146
靓妆,rtp://239.77.0.212:5146
早期教育,rtp://239.77.0.213:5146
彩民在线,rtp://239.77.0.214:5146
摄影频道,rtp://239.77.0.215:5146
武术世界,rtp://239.77.0.216:5146
卫生健康,rtp://239.77.0.217:5146
女性时尚,rtp://239.77.0.218:5146
现代女性,rtp://239.77.0.219:5146
老故事,rtp://239.77.0.220:5146
高尔夫网球,rtp://239.77.0.221:5146
优漫卡通,rtp://239.77.0.222:5146
中学生,rtp://239.77.0.223:5146
环球奇观,rtp://239.77.0.224:5146
CCTV新科动漫,rtp://239.77.0.225:5146
国学,rtp://239.77.0.226:5146
文物宝库,rtp://239.77.0.227:5146
电视指南,rtp://239.77.0.228:5146
中国3D试验高清频道,rtp://239.77.0.229:5146
贵州卫视高清,rtp://239.77.0.230:5146
极K纪录-测试,rtp://239.77.0.231:5146
精选4k频道1,rtp://239.77.0.232:5146
广东综艺超清,rtp://239.77.0.233:5146
广东卫视超清,rtp://239.77.0.236:5146
广东卫视高清,rtp://239.77.0.237:5146
广东影视4k超高清,rtp://239.77.0.244:5146
广东影视4k超高清,rtp://239.77.0.245:5146
广东影视4k超高清宽色域,rtp://239.77.0.246:5146
4k测试频道8,rtp://239.77.0.249:5146
CCTV5,rtp://239.77.0.251:5146
CCTV5+高清,rtp://239.77.0.254:5146
珠江电影,rtp://239.77.1.181:5146
PPTV-1,rtp://239.77.1.183:5146
PPTV-2,rtp://239.77.1.184:5146
PPTV-3,rtp://239.77.1.185:5146
PPTV-4,rtp://239.77.1.186:5146
粤TV-粤荟萃,rtp://239.77.1.188:5146
河北卫视高清,rtp://239.77.1.214:5146
四川卫视高清,rtp://239.77.1.215:5146
纪实高清,rtp://239.77.1.216:5146
金鹰纪实高清,rtp://239.77.1.217:5146
东方卫视高清,rtp://239.77.1.218:5146
江西卫视高清,rtp://239.77.1.219:5146
多屏,rtp://239.77.1.220:5146
贵州卫视高清,rtp://239.77.1.221:5146
CETV1高清,rtp://239.77.1.222:5146
深圳龙岗高清,rtp://239.77.1.223:5146
深圳东部高清,rtp://239.77.1.224:5146
深圳龙华,rtp://239.77.1.225:5146
深圳都市,rtp://239.77.1.226:5146
河南卫视高清,rtp://239.77.1.229:5146
珠海1,rtp://239.77.1.230:5146
珠海2,rtp://239.77.1.231:5146
HZTV1高清,rtp://239.77.1.232:5146
HZTV2高清,rtp://239.77.1.233:5146
多屏,rtp://239.77.1.234:5146
足球,rtp://239.77.1.235:5146
广东体育,rtp://239.77.1.240:5146
CCTV5,rtp://239.77.1.241:5146
深圳财经高清,rtp://239.77.1.242:5146
深圳娱乐高清,rtp://239.77.1.243:5146
深圳少儿高清,rtp://239.77.1.244:5146
DV生活,rtp://239.77.1.245:5146
深圳都市,rtp://239.77.1.246:5146
众创TV高清,rtp://239.77.1.247:5146
中国交通,rtp://239.77.1.249:5146
@大健康,rtp://239.77.1.250:5146
